Date,market_sam,closing_sam,yesterday_sam,high_sam,low_sam,volume_sam,price_du,closing_sp,open_sp,high_sp,low_sp,closing_dji,open_dji,high_dji,low_dji,volume_dji,closing_cny,open_cny,high_cny,low_cny,change_cny,closing_jpy,open_jpy,high_jpy,low_jpy,change_jpy,closing_usd,open_usd,high_usd,low_usd,closing_sh,open_sh,high_sh,low_sh,volume_sh,price_kospi,yesterday_kospi,change_kospi,volume_kospi,money_kospi
2019-09-27,48000.0,48400.0,-800.0,48700.0,48000.0,8048041.0,61.09,2961.79,2985.47,2987.31,2945.53,26820.25,26987.26,27012.54,26715.82,217780000.0,168.9,168.38,169.04,167.96,0.35,11.1455,11.1395,11.1744,11.0723,0.12,1202.99,1201.23,1204.02,1197.2,2932.17,2929.49,2939.08,2920.93,13290000000,271.33,-3.56,-1.3,57736000,2460000000000.0
2019-09-25,49200.0,48900.0,-600.0,49350.0,48800.0,9187141.0,61.09,2984.87,2968.35,2989.82,2952.86,26970.71,26866.71,27016.56,26755.86,237220000.0,168.24,167.94,168.78,167.8,0.14,11.1326,11.1663,11.2166,11.1217,-0.3,1199.82,1195.53,1202.67,1194.5,2955.43,2977.67,2977.67,2955.43,16850000000,274.42,-3.55,-1.28,70837000,3270000000000.0
2019-09-24,49050.0,49500.0,200.0,49650.0,48850.0,7871955.0,61.24,2966.6,3002.43,3007.98,2957.73,26807.77,27034.07,27079.68,26704.96,307430000.0,168.0,167.91,168.5,167.62,0.07,11.1664,11.110999999999999,11.1956,11.0821,0.49,1195.53,1195.04,1199.06,1192.75,2985.34,2979.48,3002.9,2973.76,16390000000,277.97,1.32,0.48,68274000,2880000000000.0
2019-09-23,49250.0,49300.0,100.0,49300.0,49000.0,7568553.0,61.64,2991.78,2983.5,2999.15,2982.23,26949.99,26851.45,27011.07,26831.34,214830000.0,167.88,168.41,168.51,167.66,-0.3,11.112,11.1066,11.1696,11.0528,0.1,1195.04,1194.14,1199.39,1191.0,2977.08,2998.4,2998.4,2960.83,16810000000,276.65,0.21,0.08,60185000,2640000000000.0
2019-09-20,49400.0,49200.0,50.0,49600.0,49100.0,15460210.0,61.51,2992.07,3008.42,3016.37,2984.68,26935.07,27102.18,27194.75,26926.68,512570000.0,168.38,168.44,168.57,167.47,-0.04,11.1014,11.0665,11.1128,10.995999999999999,0.32,1194.13,1195.35,1196.3,1187.4,3006.45,3004.81,3011.34,2996.19,18210000000,276.44,1.52,0.55,74026000,3500000000000.0
2019-09-19,48050.0,49150.0,1450.0,49200.0,47850.0,16461413.0,61.41,3006.79,3010.36,3021.99,3003.16,27094.79,27186.05,27272.17,27064.21,216440000.0,168.44,168.18,168.75,168.0,0.15,11.0665,10.9883,11.1082,10.9774,0.71,1195.35,1191.78,1198.0,1190.5,2999.28,2992.92,2999.28,2975.4,16270000000,274.92,1.86,0.68,70498000,3250000000000.0
2019-09-18,46900.0,47700.0,800.0,47700.0,46800.0,10413027.0,61.13,3006.73,3001.5,3007.83,2978.57,27147.08,27075.39,27161.93,26899.15,212860000.0,168.18,167.46,168.65,167.38,0.42,10.9883,10.9827,11.0292,10.9794,0.05,1191.73,1187.62,1195.07,1187.04,2985.66,2984.08,2996.4,2982.4,16800000000,273.06,1.38,0.51,67595000,2890000000000.0
2019-09-17,47000.0,46900.0,-200.0,47100.0,46800.0,7006280.0,61.32,3005.7,2995.67,3006.21,2993.73,27110.8,27010.12,27110.8,26984.14,223580000.0,167.47,167.68,168.18,167.32,-0.13,10.9827,10.9587,11.0224,10.9467,0.22,1187.62,1185.02,1191.7,1183.79,2978.12,3023.71,3023.71,2970.57,22330000000,271.68,-0.34,-0.12,73743000,3070000000000.0
2019-09-16,47000.0,47100.0,-50.0,47100.0,46400.0,15550926.0,63.12,2997.96,2996.41,3002.19,2990.67,27076.82,27146.06,27172.87,27032.56,220620000.0,167.68,166.57,167.9,166.57,0.62,10.9587,10.9593,11.0315,10.9309,0.4,1185.02,1181.8,1186.6,1181.8,3030.75,3041.92,3042.93,3020.05,22190000000,272.02,1.18,0.44,103336000,4300000000000.0
2019-09-11,47300.0,47150.0,150.0,47400.0,46800.0,16141619.0,58.73,3000.93,2981.41,3000.93,2975.31,27137.04,26928.05,27137.04,26885.48,272590000.0,167.31,167.66,168.0,167.26,-0.13,11.0427,11.0869,11.1017,11.0288,-0.33,1190.68,1192.35,1195.51,1189.4,3008.81,3029.93,3030.56,3004.22,22980000000,270.84,2.08,0.77,103898000,4750000000000.0
